Wii Sports	Wii	2006	Sports	Nintendo	41490000.00	North America
Super Mario Bros.	NES	1985	Platform	Nintendo	29080000.00	North America
Mario Kart Wii	Wii	2008	Racing	Nintendo	15850000.00	North America
Wii Sports Resort	Wii	2009	Sports	Nintendo	15750000.00	North America
Pokemon Red/Pokemon Blue	GB	1996	Role-Playing	Nintendo	11270000.00	North America
Tetris	GB	1989	Puzzle	Nintendo	23200000.00	North America
New Super Mario Bros.	DS	2006	Platform	Nintendo	11380000.00	North America
Wii Play	Wii	2006	Misc	Nintendo	14030000.00	North America
New Super Mario Bros. Wii	Wii	2009	Platform	Nintendo	14590000.00	North America
Duck Hunt	NES	1984	Shooter	Nintendo	26930000.00	North America
Nintendogs	DS	2005	Simulation	Nintendo	9070000.00	North America
Mario Kart DS	DS	2005	Racing	Nintendo	9810000.00	North America
Pokemon Gold/Pokemon Silver	GB	1999	Role-Playing	Nintendo	9000000.00	North America
Wii Fit	Wii	2007	Sports	Nintendo	8940000.00	North America
Wii Fit Plus	Wii	2009	Sports	Nintendo	9090000.00	North America
Kinect Adventures!	X360	2010	Misc	Microsoft Game Studios	14970000.00	North America
Grand Theft Auto V	PS3	2013	Action	Take-Two Interactive	7010000.00	North America
Grand Theft Auto: San Andreas	PS2	2004	Action	Take-Two Interactive	9430000.00	North America
Super Mario World	SNES	1990	Platform	Nintendo	12780000.00	North America
Brain Age: Train Your Brain in Minutes a Day	DS	2005	Misc	Nintendo	4750000.00	North America
Pokemon Diamond/Pokemon Pearl	DS	2006	Role-Playing	Nintendo	6420000.00	North America
Super Mario Land	GB	1989	Platform	Nintendo	10830000.00	North America
Super Mario Bros. 3	NES	1988	Platform	Nintendo	9540000.00	North America
Grand Theft Auto V	X360	2013	Action	Take-Two Interactive	9630000.00	North America
Grand Theft Auto: Vice City	PS2	2002	Action	Take-Two Interactive	8410000.00	North America
Pokemon Ruby/Pokemon Sapphire	GBA	2002	Role-Playing	Nintendo	6060000.00	North America
Pokemon Black/Pokemon White	DS	2010	Role-Playing	Nintendo	5570000.00	North America
Brain Age 2: More Training in Minutes a Day	DS	2005	Puzzle	Nintendo	3440000.00	North America
Gran Turismo 3: A-Spec	PS2	2001	Racing	Sony Computer Entertainment	6850000.00	North America
Call of Duty: Modern Warfare 3	X360	2011	Shooter	Activision	9030000.00	North America
Pokémon Yellow: Special Pikachu Edition	GB	1998	Role-Playing	Nintendo	5890000.00	North America
Call of Duty: Black Ops	X360	2010	Shooter	Activision	9670000.00	North America
Pokemon X/Pokemon Y	3DS	2013	Role-Playing	Nintendo	5170000.00	North America
Call of Duty: Black Ops 3	PS4	2015	Shooter	Activision	5770000.00	North America
Call of Duty: Black Ops II	PS3	2012	Shooter	Activision	4990000.00	North America
Call of Duty: Black Ops II	X360	2012	Shooter	Activision	8250000.00	North America
Call of Duty: Modern Warfare 2	X360	2009	Shooter	Activision	8520000.00	North America
Call of Duty: Modern Warfare 3	PS3	2011	Shooter	Activision	5540000.00	North America
Grand Theft Auto III	PS2	2001	Action	Take-Two Interactive	6990000.00	North America
Super Smash Bros. Brawl	Wii	2008	Fighting	Nintendo	6750000.00	North America
Call of Duty: Black Ops	PS3	2010	Shooter	Activision	5980000.00	North America
Animal Crossing: Wild World	DS	2005	Simulation	Nintendo	2550000.00	North America
Mario Kart 7	3DS	2011	Racing	Nintendo	4740000.00	North America
Halo 3	X360	2007	Shooter	Microsoft Game Studios	7970000.00	North America
Grand Theft Auto V	PS4	2014	Action	Take-Two Interactive	3800000.00	North America
Pokemon HeartGold/Pokemon SoulSilver	DS	2009	Action	Nintendo	4400000.00	North America
Super Mario 64	N64	1996	Platform	Nintendo	6910000.00	North America
Gran Turismo 4	PS2	2004	Racing	Sony Computer Entertainment	3010000.00	North America
Super Mario Galaxy	Wii	2007	Platform	Nintendo	6160000.00	North America
Pokemon Omega Ruby/Pokemon Alpha Sapphire	3DS	2014	Role-Playing	Nintendo	4230000.00	North America
Super Mario Land 2: 6 Golden Coins	GB	1992	Adventure	Nintendo	6160000.00	North America
Grand Theft Auto IV	X360	2008	Action	Take-Two Interactive	6760000.00	North America
Gran Turismo	PS	1997	Racing	Sony Computer Entertainment	4020000.00	North America
Super Mario 3D Land	3DS	2011	Platform	Nintendo	4890000.00	North America
Gran Turismo 5	PS3	2010	Racing	Sony Computer Entertainment	2960000.00	North America
Call of Duty: Modern Warfare 2	PS3	2009	Shooter	Activision	4990000.00	North America
Grand Theft Auto IV	PS3	2008	Action	Take-Two Interactive	4760000.00	North America
Super Mario All-Stars	SNES	1993	Platform	Nintendo	5990000.00	North America
Pokemon FireRed/Pokemon LeafGreen	GBA	2004	Role-Playing	Nintendo	4340000.00	North America
Super Mario 64	DS	2004	Platform	Nintendo	5080000.00	North America
Just Dance 3	Wii	2011	Misc	Ubisoft	6050000.00	North America
Call of Duty: Ghosts	X360	2013	Shooter	Activision	6720000.00	North America
Halo: Reach	X360	2010	Shooter	Microsoft Game Studios	7030000.00	North America
Mario Kart 64	N64	1996	Racing	Nintendo	5550000.00	North America
New Super Mario Bros. 2	3DS	2012	Platform	Nintendo	3660000.00	North America
Halo 4	X360	2012	Shooter	Microsoft Game Studios	6630000.00	North America
Final Fantasy VII	PS	1997	Role-Playing	Sony Computer Entertainment	3010000.00	North America
Call of Duty: Ghosts	PS3	2013	Shooter	Activision	4090000.00	North America
Just Dance 2	Wii	2010	Misc	Ubisoft	5840000.00	North America
Gran Turismo 2	PS	1999	Racing	Sony Computer Entertainment	3880000.00	North America
Call of Duty 4: Modern Warfare	X360	2007	Shooter	Activision	5910000.00	North America
Donkey Kong Country	SNES	1994	Platform	Nintendo	4360000.00	North America
Minecraft	X360	2013	Misc	Microsoft Game Studios	5580000.00	North America
Animal Crossing: New Leaf	3DS	2012	Simulation	Nintendo	2010000.00	North America
Mario Party DS	DS	2007	Misc	Nintendo	4460000.00	North America
The Elder Scrolls V: Skyrim	X360	2011	Role-Playing	Bethesda Softworks	5030000.00	North America
Super Mario Kart	SNES	1992	Racing	Nintendo	3540000.00	North America
FIFA 16	PS4	2015	Sports	Electronic Arts	1110000.00	North America
Wii Party	Wii	2010	Misc	Nintendo	1790000.00	North America
Halo 2	XB	2004	Shooter	Microsoft Game Studios	6820000.00	North America
Mario Party 8	Wii	2007	Misc	Nintendo	3810000.00	North America
Pokemon Black 2/Pokemon White 2	DS	2012	Role-Playing	Nintendo	2910000.00	North America
FIFA Soccer 13	PS3	2012	Action	Electronic Arts	1060000.00	North America
The Sims 3	PC	2009	Simulation	Electronic Arts	980000.00	North America
GoldenEye 007	N64	1997	Shooter	Nintendo	5800000.00	North America
Mario & Sonic at the Olympic Games	Wii	2007	Sports	Sega	2580000.00	North America
Final Fantasy X	PS2	2001	Role-Playing	Sony Computer Entertainment	2910000.00	North America
Final Fantasy VIII	PS	1999	Role-Playing	SquareSoft	2280000.00	North America
Pokémon Platinum Version	DS	2008	Role-Playing	Nintendo	2820000.00	North America
Pac-Man	2600	1982	Puzzle	Atari	7280000.00	North America
Grand Theft Auto: Liberty City Stories	PSP	2005	Action	Take-Two Interactive	2900000.00	North America
Super Mario Galaxy 2	Wii	2010	Platform	Nintendo	3660000.00	North America
Star Wars Battlefront (2015)	PS4	2015	Shooter	Electronic Arts	2930000.00	North America
Call of Duty: Advanced Warfare	PS4	2014	Shooter	Activision	2800000.00	North America
The Legend of Zelda: Ocarina of Time	N64	1998	Action	Nintendo	4100000.00	North America
Crash Bandicoot 2: Cortex Strikes Back	PS	1997	Platform	Sony Computer Entertainment	3780000.00	North America
Super Mario Bros. 2	NES	1988	Platform	Nintendo	5390000.00	North America
Super Smash Bros. for Wii U and 3DS	3DS	2014	Fighting	Nintendo	3240000.00	North America
Call of Duty: World at War	X360	2008	Shooter	Activision	4790000.00	North America
Battlefield 3	X360	2011	Shooter	Electronic Arts	4460000.00	North America
The Legend of Zelda: Twilight Princess	Wii	2006	Action	Nintendo	3830000.00	North America
Call of Duty: Black Ops 3	XOne	2015	Shooter	Activision	4520000.00	North America
Just Dance	Wii	2009	Misc	Ubisoft	3510000.00	North America
Battlefield 3	PS3	2011	Shooter	Electronic Arts	2850000.00	North America
Need for Speed Underground	PS2	2003	Racing	Electronic Arts	3270000.00	North America
Tekken 3	PS	1998	Fighting	Sony Computer Entertainment	3270000.00	North America
Crash Bandicoot 3: Warped	PS	1998	Platform	Sony Computer Entertainment	3680000.00	North America
Super Smash Bros. Melee	GC	2001	Fighting	Nintendo	4410000.00	North America
Mario Kart 8	WiiU	2014	Racing	Nintendo	3130000.00	North America
Fallout 4	PS4	2015	Role-Playing	Bethesda Softworks	2470000.00	North America
Mario Kart: Double Dash!!	GC	2003	Racing	Nintendo	4120000.00	North America
Just Dance 4	Wii	2012	Misc	Ubisoft	4140000.00	North America
FIFA 14	PS3	2013	Sports	Electronic Arts	780000.00	North America
Need for Speed Underground 2	PS2	2004	Racing	Electronic Arts	2710000.00	North America
Medal of Honor: Frontline	PS2	2002	Shooter	Electronic Arts	2930000.00	North America
Uncharted 3: Drake's Deception	PS3	2011	Action	Sony Computer Entertainment	2770000.00	North America
Crash Bandicoot	PS	1996	Platform	Sony Computer Entertainment	3230000.00	North America
Zumba Fitness	Wii	2010	Sports	505 Games	3500000.00	North America
Gears of War 2	X360	2008	Shooter	Microsoft Game Studios	4150000.00	North America
Uncharted 2: Among Thieves	PS3	2009	Action	Sony Computer Entertainment	3270000.00	North America
Call of Duty 4: Modern Warfare	PS3	2007	Shooter	Activision	3100000.00	North America
FIFA 12	PS3	2011	Sports	Electronic Arts	840000.00	North America
Big Brain Academy	DS	2005	Misc	Nintendo	1670000.00	North America
Red Dead Redemption	PS3	2010	Action	Take-Two Interactive	2790000.00	North America
FIFA 15	PS4	2014	Sports	Electronic Arts	790000.00	North America
Donkey Kong Country Returns	Wii	2010	Platform	Nintendo	3250000.00	North America
The Elder Scrolls V: Skyrim	PS3	2011	Role-Playing	Bethesda Softworks	2550000.00	North America
The Legend of Zelda	NES	1986	Action	Nintendo	3740000.00	North America
Assassin's Creed III	PS3	2012	Action	Ubisoft	2640000.00	North America
Halo: Combat Evolved	XB	2001	Shooter	Microsoft Game Studios	4980000.00	North America
Pokémon Emerald Version	GBA	2004	Role-Playing	Nintendo	2570000.00	North America
Kingdom Hearts	PS2	2002	Role-Playing	Sony Computer Entertainment	3640000.00	North America
Pokémon Crystal Version	GB	2000	Role-Playing	Nintendo	2550000.00	North America
Halo 3: ODST	X360	2009	Shooter	Microsoft Game Studios	4340000.00	North America
Red Dead Redemption	X360	2010	Action	Take-Two Interactive	3700000.00	North America
Super Mario Sunshine	GC	2002	Platform	Nintendo	4010000.00	North America
Street Fighter II: The World Warrior	SNES	1992	Fighting	Capcom	2470000.00	North America
World of Warcraft	PC	2004	Role-Playing	Activision	70000.00	North America
Driver	PS	1999	Action	GT Interactive	3110000.00	North America
Kinect Sports	X360	2010	Sports	Microsoft Game Studios	3920000.00	North America
Gears of War 3	X360	2011	Shooter	Microsoft Game Studios	4050000.00	North America
Gears of War	X360	2006	Shooter	Microsoft Game Studios	3540000.00	North America
Metal Gear Solid 2: Sons of Liberty	PS2	2001	Action	Konami Digital Entertainment	2450000.00	North America
Sonic the Hedgehog 2	GEN	1992	Platform	Sega	4470000.00	North America
Metal Gear Solid 4: Guns of the Patriots	PS3	2008	Action	Konami Digital Entertainment	2630000.00	North America
Metal Gear Solid	PS	1998	Action	Konami Digital Entertainment	3180000.00	North America
The Last of Us	PS3	2013	Action	Sony Computer Entertainment Europe	2410000.00	North America
Final Fantasy XII	PS2	2006	Role-Playing	Square Enix	1880000.00	North America
LittleBigPlanet	PS3	2008	Platform	Sony Computer Entertainment	2800000.00	North America
Dragon Quest IX: Sentinels of the Starry Skies	DS	2009	Role-Playing	Nintendo	660000.00	North America
LEGO Star Wars: The Complete Saga	Wii	2007	Action	LucasArts	3660000.00	North America
Resident Evil 2	PS	1998	Action	Virgin Interactive	1880000.00	North America
Tekken 2	PS	1996	Fighting	Sony Computer Entertainment	2260000.00	North America
Cooking Mama	DS	2006	Simulation	505 Games	3130000.00	North America
Destiny	PS4	2014	Shooter	Activision	2490000.00	North America
Tetris	NES	1988	Puzzle	Nintendo	2970000.00	North America
Assassin's Creed II	PS3	2009	Action	Ubisoft	2540000.00	North America
